price,bhk,area_sqft,parking
9500000.0,3.0,1400.0,0.0
57500000.0,3.0,1400.0,0.0
4000000.0,3.0,1400.0,0.0
13799999.999999998,4.0,1400.0,0.0
11000000.0,4.0,1400.0,0.0
2500000.0,3.0,1400.0,0.0
4000000.0,3.0,1400.0,0.0
10000000.0,3.0,1400.0,0.0
11000000.0,3.0,1400.0,0.0
15500000.0,4.0,1400.0,0.0
62500000.0,3.0,1400.0,0.0
2300000.0,2.0,1400.0,0.0
130000000.0,4.0,1400.0,0.0
11000000.0,4.0,1400.0,0.0
95000000.0,4.0,1400.0,0.0
6000000.0,4.0,1400.0,0.0
62500000.0,3.0,1400.0,0.0
16000000.0,3.0,1440.0,1.0
8500000.0,3.0,1040.0,1.0
29000000.0,3.0,1700.0,1.0
7000000.0,1.0,650.0,0.0
2750000.0,2.0,600.0,0.0
11000000.0,3.0,1400.0,0.0
3000000.0,4.0,1400.0,0.0
2200000.0,4.0,1400.0,0.0
1400000.0,3.0,1400.0,0.0
2300000.0,3.0,1400.0,0.0
3500000.0,4.0,1400.0,0.0
2550000.0,3.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
17000000.0,3.0,1500.0,1.0
25000000.0,4.0,1400.0,0.0
10600000.0,3.0,1200.0,0.0
13500000.0,3.0,1150.0,0.0
8000000.0,3.0,1400.0,1.0
31000000.0,4.0,1400.0,0.0
46000000.0,3.0,1800.0,0.0
17500000.0,4.0,1400.0,1.0
26800000.0,3.0,1700.0,0.0
170000000.0,4.0,5500.0,1.0
17000000.0,3.0,1300.0,0.0
14500000.0,4.0,1400.0,1.0
40000000.0,4.0,3600.0,0.0
3500000.0,2.0,720.0,0.0
25700000.0,3.0,1800.0,1.0
37000000.0,4.0,2450.0,1.0
22500000.0,5.0,1400.0,0.0
69000000.0,4.0,3204.0,1.0
62500000.0,4.0,3600.0,1.0
2500000.0,4.0,1400.0,0.0
23500000.0,3.0,1850.0,1.0
90000000.0,3.0,1953.0,1.0
43500000.0,4.0,2000.0,0.0
25500000.0,3.0,1500.0,0.0
32000000.0,3.0,1700.0,0.0
7500000.0,4.0,1201.0,1.0
4500000.0,2.0,450.0,1.0
35000000.0,5.0,1700.0,0.0
2490000.0,2.0,550.0,1.0
27000000.0,3.0,1750.0,1.0
37500000.0,4.0,2800.0,0.0
26000000.0,3.0,1350.0,0.0
12000000.0,3.0,1200.0,1.0
6500000.0,3.0,1080.0,1.0
34700000.0,4.0,2200.0,1.0
29700000.000000004,3.0,1700.0,0.0
60000000.0,4.0,2700.0,0.0
29700000.000000004,3.0,1700.0,1.0
26000000.0,3.0,1600.0,1.0
3300000.0,2.0,765.0,1.0
22500000.0,2.0,990.0,1.0
3600000.0,2.0,900.0,1.0
4400000.0,3.0,675.0,1.0
27500000.0,3.0,1700.0,1.0
30000000.0,3.0,1600.0,0.0
10000000.0,4.0,1400.0,0.0
20500000.0,2.0,1200.0,0.0
4790000.0,2.0,680.0,0.0
2200000.0,4.0,1400.0,0.0
27000000.0,3.0,1700.0,1.0
100000000.0,3.0,2250.0,0.0
32000000.0,3.0,1800.0,1.0
3499000.0,3.0,1400.0,0.0
50000000.0,4.0,2800.0,0.0
13799999.999999998,4.0,1400.0,0.0
47500000.0,4.0,2200.0,0.0
10500000.0,4.0,1400.0,0.0
50000000.0,4.0,2700.0,0.0
5251000.0,3.0,1000.0,0.0
10000000.0,4.0,1400.0,0.0
2600000.0,4.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
31000000.0,3.0,1620.0,1.0
27500000.0,3.0,1800.0,1.0
17100000.0,5.0,1400.0,0.0
3000000.0,4.0,1400.0,0.0
26800000.0,3.0,1800.0,1.0
25000000.0,3.0,1800.0,1.0
25000000.0,3.0,1700.0,1.0
11000000.0,3.0,1400.0,0.0
20500000.0,2.0,1350.0,1.0
5500000.0,2.0,650.0,1.0
46500000.0,4.0,2250.0,0.0
20800000.0,2.0,1100.0,0.0
25000000.0,3.0,1197.0,1.0
4690000.0,2.0,680.0,0.0
10500000.0,4.0,1400.0,0.0
130000000.0,4.0,4500.0,0.0
14400000.0,3.0,1100.0,1.0
27500000.0,3.0,1900.0,1.0
27000000.0,3.0,1900.0,1.0
1600000.0,4.0,1400.0,0.0
7511000.0,4.0,1400.0,0.0
23500000.0,3.0,1196.0,1.0
2500000.0,3.0,1400.0,0.0
1800000.0,4.0,1400.0,0.0
20000000.0,4.0,1400.0,0.0
21500000.0,3.0,650.0,0.0
11500000.0,3.0,1000.0,1.0
12500000.0,3.0,900.0,1.0
32100000.0,5.0,2400.0,0.0
14800000.0,4.0,1350.0,1.0
35000000.0,4.0,1800.0,1.0
5500000.0,3.0,1400.0,0.0
5500000.0,3.0,1400.0,0.0
11000000.0,3.0,1400.0,0.0
3800000.0,3.0,700.0,0.0
27000000.0,3.0,1900.0,1.0
25000000.0,3.0,1800.0,1.0
4600000.0,2.0,720.0,0.0
35000000.0,3.0,1528.0,0.0
27500000.0,3.0,1800.0,1.0
26500000.0,3.0,1950.0,1.0
6520000.0,3.0,1080.0,1.0
11200000.000000002,1.0,600.0,0.0
22100000.0,3.0,1800.0,1.0
44000000.0,4.0,2250.0,0.0
42500000.0,4.0,2250.0,0.0
42500000.0,4.0,2000.0,0.0
46000000.0,4.0,2250.0,0.0
52500000.0,4.0,2808.0,0.0
40000000.0,4.0,2800.0,0.0
50000000.0,4.0,3000.0,0.0
34000000.0,4.0,2400.0,0.0
30000000.0,3.0,1800.0,1.0
10500000.0,3.0,1400.0,0.0
21500000.0,2.0,1500.0,1.0
1800000.0,4.0,1400.0,0.0
9000000.0,4.0,1400.0,0.0
2600000.0,3.0,1400.0,0.0
12500000.0,5.0,1400.0,0.0
7200000.0,2.0,675.0,1.0
6514000.0,3.0,1250.0,0.0
34000000.0,4.0,2200.0,1.0
11100000.000000002,3.0,900.0,1.0
17000000.0,2.0,1500.0,1.0
2100000.0,4.0,1400.0,0.0
2300000.0,4.0,1400.0,0.0
27400000.000000004,3.0,2100.0,1.0
85000000.0,4.0,2000.0,1.0
7500000.0,3.0,1080.0,0.0
1750000.0,4.0,1400.0,0.0
28100000.0,3.0,1800.0,1.0
24600000.0,3.0,1900.0,1.0
12000000.0,4.0,1400.0,0.0
2200000.0,4.0,1400.0,0.0
26900000.0,4.0,1400.0,0.0
16500000.0,4.0,1400.0,0.0
27000000.0,4.0,1400.0,0.0
15200000.0,4.0,1400.0,0.0
12400000.0,4.0,1400.0,0.0
11000000.0,2.0,950.0,1.0
14000000.0,4.0,1400.0,0.0
11000000.0,5.0,1400.0,0.0
1800000.0,4.0,1400.0,0.0
1800000.0,3.0,1400.0,0.0
5500000.0,3.0,1400.0,0.0
16000000.0,4.0,1400.0,0.0
13000000.0,4.0,1400.0,0.0
3300000.0,3.0,1400.0,0.0
22500000.0,2.0,1250.0,0.0
1600000.0,4.0,1400.0,0.0
1800000.0,4.0,1400.0,0.0
2600000.0,3.0,1400.0,0.0
4100000.0,3.0,850.0,0.0
29500000.0,3.0,1900.0,1.0
9000000.0,4.0,1400.0,0.0
12000000.0,2.0,900.0,1.0
15000000.0,4.0,1400.0,0.0
50000000.0,4.0,2268.0,1.0
1500000.0,3.0,1400.0,0.0
3800000.0,3.0,1400.0,0.0
21000000.0,4.0,1400.0,0.0
52500000.0,4.0,1400.0,0.0
45000000.0,3.0,1500.0,0.0
85000000.0,4.0,2700.0,1.0
9000000.0,3.0,720.0,1.0
4430000.0,2.0,680.0,0.0
290000000.0,4.0,1400.0,0.0
10000000.0,3.0,780.0,1.0
38900000.0,4.0,2600.0,0.0
21500000.0,4.0,1400.0,0.0
34500000.0,4.0,2200.0,0.0
37000000.0,3.0,1900.0,0.0
100000000.0,4.0,2700.0,1.0
165000000.0,4.0,1400.0,0.0
4000000.0,3.0,1400.0,0.0
17700000.0,4.0,1400.0,0.0
3343000.0,4.0,1400.0,0.0
5000000.0,4.0,1400.0,0.0
28000000.0,3.0,1659.0,1.0
9000000.0,3.0,1400.0,0.0
2262000.0,3.0,1400.0,0.0
1600000.0,4.0,1400.0,0.0
4000000.0,4.0,1400.0,0.0
1900000.0,4.0,1400.0,0.0
2399000.0,3.0,1400.0,0.0
1600000.0,2.0,1400.0,0.0
1800000.0,4.0,1400.0,0.0
1800000.0,4.0,1400.0,0.0
21000000.0,5.0,1400.0,0.0
1700000.0,3.0,1400.0,0.0
2500000.0,4.0,1400.0,0.0
2600000.0,3.0,1400.0,0.0
1500000.0,4.0,1400.0,0.0
19500000.0,3.0,1250.0,1.0
15000000.0,4.0,1400.0,0.0
21500000.0,2.0,1500.0,0.0
4500000.0,2.0,610.0,0.0
4630000.0,2.0,680.0,0.0
4500000.0,2.0,720.0,0.0
164000000.0,4.0,3600.0,1.0
52500000.0,3.0,1800.0,1.0
15000000.0,4.0,1400.0,0.0
9000000.0,4.0,1400.0,0.0
39500000.0,3.0,2100.0,1.0
4500000.0,3.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
1600000.0,4.0,1400.0,0.0
19900000.0,3.0,1400.0,0.0
11500000.0,2.0,750.0,1.0
160000000.0,3.0,2400.0,0.0
2200000.0,4.0,1400.0,0.0
3500000.0,4.0,1400.0,0.0
27500000.0,3.0,1400.0,0.0
2700000.0,4.0,1400.0,0.0
2100000.0,3.0,1400.0,0.0
2000000.0,2.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
8000000.0,3.0,850.0,0.0
12000000.0,4.0,1400.0,0.0
3000000.0,2.0,1400.0,0.0
4500000.0,3.0,1400.0,0.0
2800000.0,2.0,450.0,1.0
4530000.0,2.0,680.0,0.0
65000000.0,3.0,1800.0,1.0
17500000.0,4.0,1400.0,0.0
11500000.0,4.0,1400.0,0.0
13500000.0,3.0,1050.0,1.0
3803000.0,4.0,1400.0,0.0
7551000.000000001,4.0,1300.0,0.0
14100000.0,3.0,1100.0,1.0
20000000.0,3.0,1125.0,1.0
16000000.0,5.0,1400.0,0.0
36500000.0,3.0,1400.0,0.0
10900000.0,4.0,1400.0,0.0
6520000.0,3.0,1080.0,1.0
16500000.0,3.0,1125.0,0.0
16000000.0,4.0,1400.0,0.0
12500000.0,4.0,1400.0,0.0
16000000.0,3.0,1400.0,0.0
20500000.0,2.0,1500.0,1.0
38500000.0,3.0,2300.0,1.0
52500000.0,10.0,4000.0,1.0
22500000.0,4.0,1400.0,0.0
2100000.0,4.0,1400.0,0.0
10000000.0,4.0,1400.0,0.0
11600000.0,4.0,1400.0,0.0
17000000.0,5.0,1150.0,1.0
52500000.0,4.0,2000.0,1.0
45000000.0,4.0,1800.0,1.0
11000000.0,3.0,1400.0,0.0
2500000.0,3.0,1400.0,0.0
4500000.0,3.0,1400.0,0.0
